D = 22;
n = [ 2 2 2 1 1 2 1 2 2 0 2 2 2 1 1 0 0 2 1 1 2 0 ];

N = 74;
d = [ 1 1 2 2 3 3 4 5 6 6 7 8 8 9 9 11 11 12 12 13 13 14 15 18 18 19 20 21 21 9 15 14 3 13 10 12 6 15 15 4 20 16 19 6 22 8 22 19 4 20 15 5 15 21 10 14 12 20 12 2 6 5 15 8 15 2 18 20 14 10 1 12 1 20 ];
m = [
[ 1.00 0.73 0.26 0.00 0.31 0.55 0.41 0.85 0.89 0.61 0.55 0.53 0.60 0.88 0.44 0.36 0.48 0.58 0.43 0.73 0.79 0.62 0.94 0.63 0.73 0.09 0.15 0.24 0.97 0.05 0.02 1.00 0.79 0.85 0.47 0.81 0.31 0.61 0.36 0.63 0.96 0.53 0.45 0.39 0.16 0.45 0.90 0.67 0.18 0.94 0.56 0.76 0.87 0.00 0.92 0.38 0.94 0.23 0.17 0.95 0.70 0.63 0.65 0.10 0.25 0.00 0.95 0.21 0.97 0.86 0.61 0.70 0.52 0.90 ]
[ 0.73 1.00 0.45 0.48 0.78 0.41 0.53 0.52 0.59 0.22 0.83 0.70 0.43 0.34 0.69 0.34 0.48 0.23 0.65 0.56 0.44 0.92 0.44 0.48 0.81 0.37 0.68 0.66 0.99 0.30 0.00 0.49 0.93 0.24 0.97 0.16 0.23 0.78 0.42 0.93 0.73 0.96 0.75 0.92 0.69 0.30 0.93 0.49 0.70 0.50 0.37 0.17 0.48 0.50 0.72 0.35 0.24 0.41 0.75 0.85 0.36 0.22 0.99 0.78 0.28 0.37 0.78 0.80 0.34 0.31 0.47 0.65 0.52 0.56 ]
[ 0.26 0.45 1.00 0.99 0.16 0.71 0.19 0.64 0.45 0.40 0.91 0.21 0.60 0.66 0.46 0.42 0.97 0.32 0.36 0.82 0.42 0.45 0.00 0.24 0.99 0.96 0.42 0.66 0.61 0.45 0.52 0.79 0.91 0.79 0.87 0.66 0.47 0.77 0.81 0.05 0.17 0.08 0.22 0.00 0.68 0.53 0.75 0.00 0.53 0.17 0.39 0.53 0.94 0.52 0.78 0.00 0.30 0.53 0.13 0.91 0.86 0.43 0.91 0.69 0.71 0.95 0.10 0.70 0.45 0.34 0.64 0.46 0.21 0.30 ]
[ 0.00 0.48 0.99 1.00 0.82 0.84 0.68 0.94 0.59 0.72 0.96 0.63 0.34 0.26 0.33 0.58 0.27 0.77 0.19 0.88 0.95 0.18 0.93 0.60 0.20 0.94 0.99 0.31 0.67 0.76 0.71 0.83 0.54 0.31 0.81 0.10 0.53 0.22 0.39 0.33 0.28 0.03 0.24 0.35 0.98 0.98 0.95 0.59 0.11 0.97 0.32 0.35 0.87 0.77 0.24 0.78 0.84 0.44 0.09 1.00 0.75 0.22 0.65 0.65 0.00 0.93 0.98 0.40 0.25 0.51 0.98 0.00 0.88 0.61 ]
[ 0.31 0.78 0.16 0.82 1.00 0.68 0.37 0.65 0.57 0.10 0.53 0.66 0.79 0.83 0.25 0.19 0.87 0.69 0.88 0.44 0.56 0.02 0.79 0.19 0.62 0.73 0.86 0.05 0.40 0.79 0.80 0.43 0.62 0.73 0.25 0.97 0.91 0.58 0.69 0.74 0.43 0.62 0.31 0.50 0.90 0.22 0.42 0.40 0.62 0.81 0.45 0.53 0.95 0.27 0.73 0.75 0.00 0.52 0.79 0.30 0.80 0.57 0.16 0.09 0.97 0.16 0.88 0.02 0.41 0.28 0.02 0.95 0.77 0.19 ]
[ 0.55 0.41 0.71 0.84 0.68 1.00 0.67 0.37 0.78 0.99 0.16 0.84 0.33 0.41 0.96 0.48 0.69 0.76 0.76 0.30 0.63 0.93 0.53 0.22 0.97 0.39 0.92 0.94 0.38 0.88 0.48 0.26 0.39 0.02 0.93 0.83 0.57 0.10 0.91 0.09 0.66 1.00 0.89 1.00 0.54 0.10 0.76 0.89 0.72 0.92 0.96 0.55 0.80 0.46 0.80 0.08 0.80 0.78 0.21 0.11 0.20 0.95 0.88 0.27 0.37 0.40 0.16 0.38 0.23 0.89 0.69 0.65 0.89 0.13 ]
[ 0.41 0.53 0.19 0.68 0.37 0.67 1.00 0.92 0.15 0.85 0.08 0.94 0.88 0.35 0.14 0.49 0.04 0.86 0.10 0.89 0.51 0.84 0.99 0.17 0.86 0.58 0.89 0.34 0.24 0.86 0.75 0.90 0.25 0.58 0.29 0.03 0.92 0.22 0.95 0.90 0.27 0.36 0.03 0.79 0.24 0.41 0.93 0.20 0.01 0.48 0.94 0.85 0.12 0.49 0.30 0.88 0.71 0.72 0.21 0.34 0.11 0.29 0.39 0.98 0.82 0.66 0.16 0.58 0.72 0.38 0.81 0.43 0.86 0.66 ]
[ 0.85 0.52 0.64 0.94 0.65 0.37 0.92 1.00 0.99 0.40 0.59 0.98 0.73 0.45 0.24 0.38 0.13 0.83 0.86 0.65 0.74 0.68 0.37 0.19 0.48 0.78 0.83 0.21 0.53 0.56 0.61 0.71 0.77 0.31 0.21 0.82 0.18 0.74 0.88 0.58 0.38 0.00 0.36 0.13 0.74 0.64 0.17 0.90 0.00 0.21 0.92 0.66 0.22 0.87 0.24 0.74 0.99 0.35 0.92 0.55 0.06 0.34 0.83 0.33 0.43 0.38 0.51 0.03 0.74 0.93 0.94 0.66 0.55 0.35 ]
[ 0.89 0.59 0.45 0.59 0.57 0.78 0.15 0.99 1.00 0.94 0.09 0.97 0.82 0.71 0.37 0.54 0.17 0.96 0.62 0.94 0.52 0.59 0.12 0.33 0.03 0.81 0.98 0.68 0.52 0.18 0.67 0.49 0.00 0.29 0.39 0.59 0.35 0.29 0.95 0.70 0.58 0.61 0.51 0.88 0.80 0.43 0.93 0.34 0.62 0.90 0.03 0.09 0.70 0.18 0.88 0.25 0.92 0.34 0.30 0.39 0.33 0.99 0.66 0.18 0.62 0.45 0.36 0.91 0.72 0.51 0.36 0.70 0.92 0.69 ]
[ 0.61 0.22 0.40 0.72 0.10 0.99 0.85 0.40 0.94 1.00 0.53 0.97 0.74 0.55 0.00 0.94 0.58 0.91 0.33 0.81 0.32 0.98 0.64 0.16 0.84 0.32 0.59 0.49 0.28 0.84 0.27 0.66 0.55 0.37 0.09 0.28 0.61 0.18 0.55 0.73 0.25 0.30 0.44 0.28 0.80 0.40 0.70 0.77 0.31 0.27 0.47 0.94 0.43 0.47 0.00 0.35 0.74 0.67 0.97 0.71 0.91 0.96 0.68 0.40 0.20 0.35 0.16 0.48 0.18 0.55 0.98 0.54 0.30 0.35 ]
