D = 27;
n = [ 1 1 1 0 2 2 1 1 2 0 0 2 2 1 0 1 0 2 0 2 1 1 2 0 0 0 0 ];

N = 82;
d = [ 1 2 3 5 5 6 6 7 8 9 9 12 12 13 13 14 16 18 18 20 20 21 22 23 23 4 20 16 3 19 15 14 23 12 1 19 5 8 17 8 8 12 11 24 1 17 5 23 23 25 4 14 8 13 14 11 17 22 27 8 14 14 22 25 14 11 5 18 18 22 15 26 22 25 11 22 3 4 6 14 2 10 ];
m = [
[ 1.00 0.19 0.46 0.34 0.83 0.43 0.68 0.56 0.20 0.71 0.18 0.77 0.32 0.99 0.17 0.57 0.64 0.84 0.80 0.79 0.20 0.97 0.30 1.00 0.77 0.87 0.07 0.81 0.73 0.46 0.55 0.88 0.65 0.91 0.47 0.54 0.60 0.41 0.66 0.24 0.87 0.08 0.37 0.38 0.38 1.00 0.72 0.00 0.52 0.94 0.13 0.96 0.55 0.67 0.72 0.54 0.33 0.83 0.25 0.29 0.69 0.89 0.70 0.98 0.98 0.50 0.90 0.87 0.37 0.39 0.99 0.93 0.66 0.02 1.00 0.87 0.35 0.92 0.81 0.43 0.96 0.94 ]
[ 0.19 1.00 0.87 0.85 0.53 0.93 0.33 0.66 0.60 0.76 0.00 0.18 0.00 0.49 0.52 0.21 0.33 0.72 0.99 0.93 0.90 0.35 0.55 0.17 0.93 0.87 0.35 0.46 0.68 0.92 0.41 0.88 0.41 0.46 0.81 0.30 0.00 0.88 0.18 0.98 0.80 0.85 0.39 0.76 0.42 0.41 0.77 0.41 0.56 0.53 0.70 0.72 0.33 0.41 0.35 0.77 0.36 0.44 0.38 0.66 0.58 0.48 0.62 0.68 0.61 0.97 0.18 0.03 0.58 0.94 0.76 0.22 0.90 0.12 0.71 0.43 0.60 0.99 0.65 0.94 0.83 0.72 ]
[ 0.46 0.87 1.00 0.14 0.36 0.61 0.91 0.91 0.64 0.17 0.91 0.18 0.33 0.96 0.15 0.75 0.12 0.99 0.97 0.59 0.90 0.17 0.72 0.36 0.00 0.38 0.56 0.19 0.45 0.24 0.67 0.07 0.00 0.35 0.14 0.18 0.89 0.73 0.27 0.64 0.24 0.71 0.45 0.88 0.42 0.83 0.62 0.48 0.72 0.29 0.98 0.89 0.60 0.44 0.65 0.00 0.75 0.20 0.42 0.28 0.91 0.88 0.70 0.77 0.52 0.84 0.52 0.52 0.76 0.86 0.38 0.81 0.24 0.27 0.18 0.96 0.48 0.76 0.62 0.18 0.44 0.48 ]
[ 0.34 0.85 0.14 1.00 0.04 0.56 0.57 0.70 0.74 0.87 0.96 0.50 0.60 0.31 0.31 0.91 0.76 0.87 0.46 0.30 0.94 0.71 0.48 0.22 0.00 0.30 0.19 0.97 0.87 0.19 0.33 0.94 0.17 0.34 0.49 0.52 0.44 0.83 0.71 0.63 0.76 0.42 0.42 0.68 0.29 0.68 0.00 0.42 0.84 0.78 0.79 0.72 0.87 0.20 0.82 0.06 0.51 0.92 0.96 0.28 0.73 0.83 0.99 0.79 0.71 0.32 0.54 0.72 0.29 0.48 0.52 0.30 0.31 0.48 0.36 0.02 0.10 0.06 0.49 0.08 0.87 0.84 ]
[ 0.83 0.53 0.36 0.04 1.00 0.74 0.06 0.63 0.30 0.71 0.89 0.22 0.82 0.90 0.93 0.30 0.57 0.35 0.83 0.80 0.25 0.69 0.73 0.07 0.61 0.48 0.37 0.58 0.83 0.41 0.83 0.47 0.35 0.65 0.27 0.31 0.45 0.77 0.47 0.35 0.95 0.85 0.00 0.94 0.90 0.09 0.55 0.89 0.07 0.98 0.27 0.99 0.81 0.90 0.44 0.50 0.39 0.54 0.56 0.49 0.70 0.10 0.31 0.50 0.99 0.00 0.87 0.90 0.97 0.81 0.96 0.52 0.85 0.70 0.90 0.69 0.68 0.81 0.20 0.09 0.75 0.24 ]
[ 0.43 0.93 0.61 0.56 0.74 1.00 0.76 0.09 0.12 0.65 0.28 0.66 0.85 0.92 0.50 0.59 0.00 0.55 0.24 0.85 0.38 0.15 0.74 0.78 0.89 0.33 0.57 0.49 0.51 0.32 0.51 0.93 0.52 0.25 0.54 0.52 0.24 0.29 0.17 0.50 0.93 0.86 0.33 0.99 0.93 0.62 0.58 0.73 0.34 0.12 0.23 0.96 0.76 0.88 0.16 0.88 0.92 0.62 0.97 0.51 0.96 0.91 0.42 0.47 0.29 0.49 0.57 0.54 0.23 0.42 0.49 0.62 0.98 0.64 0.79 0.83 0.44 0.99 0.56 0.47 0.63 0.22 ]
[ 0.68 0.33 0.91 0.57 0.06 0.76 1.00 0.24 0.69 0.92 0.42 0.67 0.77 0.00 0.94 0.37 0.28 0.30 0.99 0.25 0.47 0.00 0.17 0.52 0.20 0.02 0.26 0.83 0.81 0.58 0.97 0.37 0.76 0.51 0.53 0.21 0.56 0.06 0.43 0.37 0.00 0.92 0.76 0.61 0.46 0.64 0.84 0.00 0.82 0.72 0.33 0.02 0.90 0.47 0.39 0.96 0.37 0.87 0.36 0.10 0.86 0.21 0.75 0.37 0.00 0.24 0.47 0.44 0.74 0.33 0.49 0.05 0.91 0.33 0.18 0.20 0.81 0.93 0.97 0.35 0.44 0.76 ]
[ 0.56 0.66 0.91 0.70 0.63 0.09 0.24 1.00 0.77 0.95 0.45 0.90 0.19 0.86 0.46 0.00 0.92 1.00 0.02 0.06 0.65 0.41 0.19 0.88 0.95 0.57 0.78 0.96 0.57 0.74 0.77 0.82 0.37 0.35 0.75 0.52 0.40 0.98 0.62 0.38 0.51 0.66 0.48 0.30 0.14 0.25 0.29 0.30 0.18 0.81 0.30 0.46 0.90 0.15 0.40 0.40 0.32 0.35 0.56 0.70 0.54 0.42 0.17 0.04 0.23 0.81 0.63 0.78 0.65 0.20 0.03 0.81 0.51 0.26 0.66 0.60 0.75 0.18 0.58 0.81 0.51 0.19 ]
[ 0.20 0.60 0.64 0.74 0.30 0.12 0.69 0.77 1.00 0.89 0.88 0.74 0.20 0.65 0.47 0.32 0.39 0.93 0.33 1.00 0.36 0.57 0.39 0.25 0.36 0.90 0.45 0.97 0.31 0.51 0.97 0.89 0.96 0.21 0.33 0.34 0.65 0.71 1.00 0.47 0.41 0.71 0.16 0.37 0.26 0.99 0.55 0.19 0.19 0.33 0.89 0.75 0.44 0.15 0.57 0.62 0.89 0.71 0.22 0.08 0.99 0.29 0.64 0.97 0.42 0.20 0.56 0.55 0.57 0.42 0.18 0.28 0.52 0.95 0.21 0.77 0.63 0.50 0.05 0.02 0.90 0.38 ]
[ 0.71 0.76 0.17 0.87 0.71 0.65 0.92 0.95 0.89 1.00 0.26 0.99 0.48 0.82 0.40 0.74 0.24 0.00 0.30 0.42 0.43 0.66 0.69 0.81 0.38 0.72 0.37 0.25 0.88 0.17 0.70 0.53 0.35 0.27 0.68 0.65 0.85 0.14 0.47 0.35 0.85 0.17 0.97 0.43 0.57 0.63 0.56 0.86 0.89 0.41 0.70 0.27 0.93 0.57 0.83 0.69 0.83 0.39 0.83 0.96 0.27 0.83 0.62 0.95 0.89 0.83 0.22 0.74 0.33 0.59 0.37 0.88 0.88 0.19 0.37 0.68 0.34 0.33 0.68 0.78 0.14 0.20 ]
