D = 21;
n = [ 0 1 2 2 0 2 2 3 2 3 0 1 2 1 1 3 2 0 1 2 2 ];

N = 84;
d = [ 2 3 3 4 4 6 6 7 7 8 8 8 9 9 10 10 10 12 13 13 14 15 16 16 16 17 17 19 20 20 21 21 3 21 20 5 5 7 9 18 19 2 2 3 5 9 12 12 19 2 14 12 20 10 7 6 19 3 5 16 5 17 14 5 16 12 9 20 16 16 14 11 17 15 14 19 21 2 8 19 3 21 7 21 ];
m = [
[ 1.00 0.57 0.49 0.55 0.94 0.89 0.41 0.92 0.63 0.22 0.60 0.53 0.92 0.82 0.90 0.73 0.94 0.06 0.86 0.96 0.70 0.41 0.26 0.91 0.50 0.54 0.00 0.22 0.99 0.95 0.97 0.86 0.76 0.14 0.54 0.95 0.95 0.58 0.97 0.34 0.79 0.31 0.36 0.70 0.97 0.92 0.64 0.87 0.19 0.93 1.00 0.74 0.78 0.93 0.76 0.91 0.56 0.75 0.81 0.23 0.02 0.89 0.25 0.43 0.48 0.97 0.27 0.23 0.22 0.71 0.44 0.97 0.72 0.77 0.35 0.48 0.56 0.89 0.87 0.80 0.55 0.21 0.41 0.97 ]
[ 0.57 1.00 0.72 0.47 0.72 0.31 0.75 0.41 0.22 0.55 0.94 0.91 0.46 0.41 0.19 0.69 0.61 0.99 0.31 0.65 0.56 0.61 0.18 0.57 0.98 0.73 0.83 0.30 0.55 0.45 0.19 0.86 0.97 0.28 0.37 0.01 0.73 0.39 0.68 0.85 0.22 0.22 0.86 0.48 0.78 0.89 0.86 0.61 0.89 0.79 0.96 0.49 0.96 0.92 0.68 0.22 0.37 0.80 0.51 0.18 0.35 0.41 0.10 0.34 0.00 0.28 0.59 0.16 0.77 0.60 0.58 0.07 0.44 0.42 0.27 0.98 0.20 1.00 0.12 0.66 0.77 0.00 0.52 0.34 ]
[ 0.49 0.72 1.00 0.84 0.41 0.65 0.71 0.78 0.94 0.60 0.55 0.92 0.30 0.54 0.58 0.23 0.93 0.59 0.90 0.79 0.99 0.88 0.97 0.31 0.97 0.96 0.24 0.24 0.01 0.54 0.83 0.32 0.36 0.37 0.92 0.42 0.76 0.29 0.64 0.86 0.90 0.79 0.18 0.70 0.66 0.98 0.16 0.88 0.99 0.84 0.68 0.77 0.83 0.38 0.93 0.88 0.34 0.36 0.26 0.47 0.45 0.57 0.42 0.68 0.39 0.97 0.24 0.66 0.97 0.69 0.49 0.87 0.86 0.01 0.93 0.24 0.74 0.91 0.52 0.56 0.78 0.14 0.20 0.24 ]
[ 0.55 0.47 0.84 1.00 0.68 0.87 0.75 0.85 0.68 0.26 0.60 0.04 0.85 0.66 0.70 0.42 0.95 0.66 0.86 0.57 0.67 0.18 0.19 0.93 0.25 0.87 0.83 0.34 1.00 0.49 0.37 0.48 0.30 0.96 0.19 0.18 0.02 0.43 0.25 0.84 0.59 0.19 0.46 0.55 0.90 0.28 0.80 0.95 0.75 0.91 0.69 0.96 0.51 0.86 0.18 0.99 0.26 0.34 0.39 0.16 0.78 0.36 0.98 0.82 0.39 0.94 0.69 0.16 0.44 0.82 0.25 0.24 0.78 0.98 0.89 0.99 0.87 0.82 0.25 0.95 0.33 0.59 0.09 0.90 ]
[ 0.94 0.72 0.41 0.68 1.00 0.96 0.48 0.26 0.27 0.00 0.20 0.89 0.29 0.01 0.39 0.54 0.68 0.50 0.62 0.60 0.74 0.17 0.24 0.34 0.19 0.66 0.00 0.99 0.97 0.88 0.63 0.70 0.86 0.92 0.93 0.66 0.97 0.74 0.51 0.30 0.71 0.83 0.28 0.18 0.34 0.89 0.93 0.98 0.75 0.95 0.36 0.27 0.72 0.20 0.68 0.55 0.98 0.49 0.48 0.17 0.71 0.96 0.36 0.82 0.14 0.51 0.19 0.39 0.96 0.29 0.64 0.85 0.90 0.54 0.18 0.93 0.13 0.29 0.97 0.37 0.97 0.82 0.52 0.65 ]
[ 0.89 0.31 0.65 0.87 0.96 1.00 0.96 0.63 0.63 0.81 0.29 0.69 0.01 0.01 0.52 0.87 0.06 0.21 0.89 0.19 0.39 0.17 0.63 0.47 0.91 0.90 0.99 0.75 0.46 0.81 0.30 0.37 0.92 0.75 0.92 0.54 0.10 0.73 0.35 0.67 0.95 0.38 0.32 0.56 0.23 0.61 0.55 0.84 0.41 0.12 0.12 0.55 0.82 0.74 0.64 0.81 0.95 0.85 0.47 0.59 0.87 0.99 0.32 0.67 0.67 0.44 0.14 0.84 0.43 0.25 0.91 0.92 0.90 0.18 0.20 0.91 0.81 0.76 0.88 0.72 0.28 0.92 0.31 0.00 ]
[ 0.41 0.75 0.71 0.75 0.48 0.96 1.00 0.34 0.00 0.63 0.88 0.94 0.97 0.69 0.71 0.45 0.73 0.36 0.45 0.59 0.00 0.69 0.25 0.50 0.82 0.21 0.46 0.72 0.95 0.79 0.18 0.59 0.64 0.46 0.95 0.70 0.91 0.31 0.39 0.79 0.99 0.92 0.76 0.53 0.52 0.96 0.90 0.65 0.60 0.29 0.97 0.95 0.08 0.65 0.59 0.88 0.60 1.00 0.83 0.22 0.85 0.20 0.32 0.43 0.14 0.30 0.56 0.82 0.97 0.16 0.90 0.00 0.81 0.85 0.73 0.54 0.08 0.91 0.61 0.37 0.00 0.99 0.76 0.60 ]
[ 0.92 0.41 0.78 0.85 0.26 0.63 0.34 1.00 0.59 0.50 0.98 0.74 0.67 0.13 0.93 0.67 0.00 0.26 0.76 0.47 0.41 0.86 0.46 0.69 0.30 0.69 0.85 0.96 0.90 0.65 0.84 0.32 0.86 0.87 0.31 0.87 0.26 0.65 0.71 0.77 0.95 0.77 0.03 0.09 0.18 0.85 0.43 0.98 0.63 0.06 0.56 0.50 0.96 0.40 0.65 0.55 0.98 0.21 0.19 0.60 0.81 0.23 0.99 0.72 0.15 0.52 0.71 0.90 0.33 0.87 0.80 0.05 0.87 0.99 0.01 0.35 0.33 0.00 0.88 0.88 0.90 0.40 0.03 0.89 ]
[ 0.63 0.22 0.94 0.68 0.27 0.63 0.00 0.59 1.00 0.60 0.79 0.76 0.99 0.66 0.61 0.49 0.29 0.93 0.13 0.99 0.52 0.50 0.31 0.35 0.52 0.43 0.53 0.17 0.83 0.99 0.62 0.76 0.78 0.47 0.86 0.75 0.65 0.51 0.21 0.43 0.66 0.86 0.20 0.97 0.74 0.62 0.86 0.91 0.14 0.00 0.17 0.94 1.00 0.27 0.19 0.37 0.64 0.96 0.29 0.68 0.61 0.14 0.08 0.56 0.91 0.32 0.64 0.20 0.72 0.94 0.88 0.52 0.16 0.77 0.20 0.92 0.01 0.79 0.74 0.23 0.81 0.62 0.29 0.05 ]
[ 0.22 0.55 0.60 0.26 0.00 0.81 0.63 0.50 0.60 1.00 0.84 0.98 0.71 0.22 0.60 0.16 0.60 0.46 0.74 0.40 0.76 0.81 0.72 0.07 0.91 0.85 0.64 0.54 0.35 0.90 0.60 0.61 0.71 0.17 0.48 0.39 0.13 0.88 0.79 0.95 0.46 0.95 0.94 0.00 0.00 0.98 0.71 0.36 0.97 0.54 0.67 0.27 0.91 0.91 0.63 0.88 0.56 0.86 0.70 0.06 0.08 0.44 0.69 0.69 0.71 0.39 0.40 0.00 0.96 0.85 0.30 0.46 0.78 0.94 0.77 0.53 0.96 0.67 0.56 0.74 0.33 0.07 0.52 0.47 ]
