D = 19;
n = [ 0 3 0 0 2 3 2 2 2 3 1 2 0 2 2 0 0 3 2 ];

N = 89;
d = [ 2 2 2 5 5 6 6 6 7 7 8 8 9 9 10 10 10 11 12 12 14 14 15 15 18 18 18 19 19 3 8 18 12 4 18 14 15 2 19 18 19 8 4 16 12 4 10 6 10 9 6 14 4 16 5 1 18 13 2 1 16 9 15 8 9 13 18 4 15 17 18 11 3 18 7 11 18 16 17 6 2 19 19 6 16 1 6 11 14 ];
m = [
[ 1.00 0.87 0.96 0.43 0.94 0.70 0.93 0.83 0.94 0.60 0.79 0.66 0.44 0.62 0.30 0.94 0.91 0.97 0.19 0.02 0.15 0.31 0.36 0.27 0.56 0.56 0.16 0.53 0.93 0.96 0.62 0.23 0.19 0.26 0.27 0.69 0.89 0.96 0.88 0.46 0.67 0.36 0.38 0.88 0.86 0.53 0.03 0.70 0.57 0.41 0.32 0.82 0.25 0.85 0.94 0.25 0.49 0.22 0.89 0.61 0.28 0.23 0.75 0.59 0.73 0.32 0.25 0.54 0.98 0.95 0.86 0.98 0.32 0.91 0.31 0.79 0.31 0.70 0.79 0.54 0.91 0.72 0.00 0.42 0.98 0.93 0.18 0.04 0.08 ]
[ 0.87 1.00 0.83 0.91 0.85 0.04 0.58 0.80 0.76 0.48 0.00 0.18 0.76 0.55 0.46 0.78 0.88 0.36 0.48 0.70 0.42 0.65 0.31 0.38 0.79 0.96 0.49 0.33 0.95 0.31 0.12 0.76 0.94 0.39 0.93 0.54 0.66 0.90 0.36 0.30 0.60 0.71 0.64 0.93 0.98 0.07 0.98 0.95 0.52 0.93 0.22 0.85 0.91 0.97 0.83 0.79 0.79 0.67 0.69 0.00 1.00 0.39 0.76 0.36 0.83 0.48 0.83 0.78 0.97 0.18 0.61 0.05 0.95 0.88 0.00 0.88 0.40 0.46 0.56 0.92 0.91 0.46 0.36 0.42 0.63 0.65 0.96 0.12 0.90 ]
[ 0.96 0.83 1.00 0.93 0.35 0.76 0.45 0.73 0.68 1.00 0.60 0.60 0.37 0.58 0.00 0.38 0.97 0.32 0.37 0.94 0.47 0.14 0.68 0.79 0.17 0.67 0.77 0.73 0.92 0.47 0.99 0.79 0.68 0.76 0.38 0.26 0.12 0.76 0.43 0.90 0.17 0.58 0.30 0.67 0.36 0.26 1.00 0.85 0.89 0.72 0.39 0.90 0.21 0.65 0.16 0.78 0.23 0.81 0.99 0.17 0.76 0.50 0.34 0.94 0.90 0.86 0.40 0.13 0.59 0.80 0.58 0.62 0.90 0.20 0.35 0.53 0.89 0.85 0.52 0.86 0.83 0.55 0.53 0.68 0.15 0.71 0.51 0.39 0.86 ]
[ 0.43 0.91 0.93 1.00 0.87 0.93 0.53 0.66 0.41 0.87 0.87 0.08 0.00 0.00 0.25 0.00 0.24 0.19 0.42 0.21 0.58 0.43 0.85 0.51 0.97 0.88 0.88 0.88 0.27 0.66 0.21 0.53 0.69 0.81 0.02 0.43 0.52 0.65 0.77 0.05 0.89 0.72 0.26 0.71 0.84 0.58 0.45 0.35 0.68 0.91 0.89 0.59 0.56 0.38 0.55 0.28 0.31 0.40 0.18 0.11 0.95 0.22 0.49 0.37 0.94 0.23 0.48 0.62 0.21 0.52 0.95 0.52 0.65 0.05 0.18 0.69 0.40 0.12 0.89 0.20 0.73 0.69 0.80 0.90 0.46 0.62 0.09 0.19 0.20 ]
[ 0.94 0.85 0.35 0.87 1.00 0.86 0.42 0.73 0.65 0.57 0.71 0.74 0.75 0.81 0.86 0.97 0.27 0.60 0.62 0.21 0.19 0.98 1.00 0.29 0.90 0.10 0.92 0.70 0.24 0.02 0.85 0.63 0.91 0.83 0.17 0.72 0.29 0.93 0.41 0.77 0.50 0.77 0.19 0.35 0.00 0.91 0.91 0.86 0.95 0.56 0.45 0.55 0.74 0.85 0.58 0.99 0.04 0.31 0.51 0.49 0.89 0.20 0.88 0.36 0.53 0.10 0.52 0.47 0.47 0.91 0.31 0.44 0.68 0.62 0.52 0.83 0.18 0.50 0.03 0.86 0.64 0.64 0.81 0.57 0.60 0.92 0.36 0.39 0.50 ]
[ 0.70 0.04 0.76 0.93 0.86 1.00 0.39 0.88 0.73 0.91 0.91 0.24 0.90 0.33 0.01 0.28 0.56 0.00 0.18 0.82 0.01 0.45 0.40 0.31 0.89 0.19 0.98 0.96 0.82 0.60 0.94 0.87 0.45 0.78 0.63 0.91 0.76 0.70 0.35 0.14 0.46 0.03 0.58 0.63 0.48 0.93 0.27 0.38 0.95 0.20 0.86 0.86 0.36 0.27 0.76 0.26 0.19 0.58 0.33 0.30 0.59 0.97 0.46 0.42 0.40 0.92 0.81 0.90 0.42 0.73 0.57 0.94 0.90 0.37 0.92 0.36 0.35 0.00 0.96 0.35 0.94 0.89 0.95 0.41 0.29 0.68 0.50 0.16 0.20 ]
[ 0.93 0.58 0.45 0.53 0.42 0.39 1.00 0.47 0.62 0.99 0.89 0.62 0.36 0.97 0.95 0.78 0.79 0.90 0.87 0.54 0.72 0.71 0.69 0.53 0.04 0.31 0.94 0.54 0.75 0.69 0.92 0.99 0.80 0.50 0.36 0.96 0.95 0.15 0.12 0.98 0.01 0.57 0.15 0.50 0.52 0.45 0.80 0.44 0.57 0.82 0.84 0.17 0.88 0.18 0.94 0.21 0.00 0.31 0.73 0.76 0.84 0.42 0.61 0.70 0.11 0.27 0.45 0.05 0.30 0.95 0.35 0.91 0.45 0.36 0.39 0.59 0.48 0.32 0.98 0.43 0.69 0.89 0.96 0.74 0.17 0.68 0.89 0.94 0.70 ]
[ 0.83 0.80 0.73 0.66 0.73 0.88 0.47 1.00 0.82 0.22 0.47 0.58 0.65 0.66 0.17 0.95 0.64 0.83 0.43 0.19 0.38 0.38 0.16 0.75 0.31 0.55 0.53 0.43 0.61 0.90 0.59 0.17 0.47 0.76 0.15 0.85 0.33 0.34 0.92 0.89 0.21 0.00 0.94 0.97 0.63 0.03 0.53 0.43 0.64 0.96 0.91 0.56 0.99 0.85 0.43 0.50 0.30 0.92 0.41 0.11 0.27 0.47 0.28 0.57 0.33 0.47 0.19 0.44 0.84 0.32 0.54 0.92 0.21 0.09 0.88 0.53 0.89 0.22 0.13 0.37 0.19 0.70 0.72 0.23 0.58 0.28 0.02 0.80 0.94 ]
[ 0.94 0.76 0.68 0.41 0.65 0.73 0.62 0.82 1.00 0.95 0.98 0.32 0.29 0.51 0.18 0.87 0.56 0.29 0.87 0.88 0.63 0.78 0.20 1.00 0.41 0.54 0.98 0.36 0.87 0.87 0.59 0.35 0.28 0.58 0.72 0.86 0.88 0.89 0.96 1.00 0.82 0.90 0.39 0.78 0.46 0.62 0.34 0.89 0.47 0.69 0.96 0.69 0.66 0.31 0.90 0.94 0.96 0.23 0.56 0.56 0.17 0.87 0.88 0.69 0.35 0.99 0.38 0.82 0.69 0.54 0.91 0.42 0.24 0.35 0.50 0.67 0.24 0.98 0.32 0.17 0.87 0.08 0.65 0.52 0.64 0.56 0.33 0.36 0.48 ]
[ 0.60 0.48 1.00 0.87 0.57 0.91 0.99 0.22 0.95 1.00 0.86 0.92 0.51 0.95 0.99 0.82 0.48 0.81 0.55 0.08 0.25 0.28 0.39 0.96 0.72 0.88 0.26 0.96 0.30 0.16 0.42 0.20 0.86 0.75 0.95 0.12 0.58 0.93 0.43 0.94 0.46 0.02 0.48 0.89 0.39 0.97 0.34 0.94 0.78 0.85 0.72 0.91 0.96 0.42 0.29 0.41 0.97 0.32 0.43 0.81 0.97 0.47 0.61 0.45 0.47 0.24 0.30 0.64 0.92 0.22 0.18 0.90 0.84 0.22 0.86 0.02 0.71 0.81 0.58 0.16 0.12 0.39 0.62 0.83 0.87 0.70 0.53 1.00 0.95 ]
[ 0.79 0.00 0.60 0.87 0.71 0.91 0.89 0.47 0.98 0.86 1.00 0.79 0.24 0.55 0.59 0.42 0.76 0.36 0.93 0.95 0.62 0.40 0.65 0.80 0.04 0.97 0.15 0.94 0.68 0.19 0.61 0.94 0.98 0.28 0.55 0.59 0.92 0.85 0.24 0.48 0.76 0.32 0.84 0.85 0.14 0.02 0.92 0.25 0.61 0.65 0.88 0.48 0.05 0.78 0.46 0.97 0.59 0.27 0.13 0.39 0.88 0.46 0.29 0.16 0.79 0.21 0.86 0.71 0.18 0.71 0.19 0.70 0.10 0.89 0.87 0.90 0.22 0.18 0.40 0.88 0.69 0.42 0.73 0.28 0.76 0.90 0.94 0.58 0.22 ]
[ 0.66 0.18 0.60 0.08 0.74 0.24 0.62 0.58 0.32 0.92 0.79 1.00 0.67 0.53 0.57 0.74 0.82 0.64 0.49 0.91 0.35 0.19 0.86 0.47 0.74 0.56 0.35 0.40 0.99 0.22 0.08 0.88 0.24 0.10 0.90 0.49 0.89 0.86 0.07 0.71 0.94 0.68 0.20 0.78 0.16 0.53 0.14 0.21 0.94 0.62 0.96 0.53 0.63 0.41 0.29 0.07 0.54 0.62 0.37 0.00 0.90 0.03 0.50 0.00 0.93 0.65 0.41 0.91 0.92 0.53 0.30 0.18 0.52 0.76 0.30 0.69 0.93 0.17 0.73 0.06 0.40 0.58 0.57 0.59 0.21 0.83 0.99 1.00 0.94 ]
