D = 8;
n = [ 0 0 1 2 2 0 2 1 ];

N = 9;
d = [ 3 4 2 2 2 1 6 5 8 ];
m = [
[ 1.00 0.46 0.45 0.49 0.85 0.02 0.38 0.29 0.16 ]
[ 0.46 1.00 0.59 0.63 0.05 0.23 0.23 0.53 0.11 ]
[ 0.45 0.59 1.00 0.61 0.73 0.10 0.24 0.99 0.67 ]
[ 0.49 0.63 0.61 1.00 0.94 0.03 0.33 0.63 0.30 ]
[ 0.85 0.05 0.73 0.94 1.00 0.48 0.34 0.76 0.08 ]
[ 0.02 0.23 0.10 0.03 0.48 1.00 0.96 0.21 0.53 ]
[ 0.38 0.23 0.24 0.33 0.34 0.96 1.00 0.45 0.06 ]
[ 0.29 0.53 0.99 0.63 0.76 0.21 0.45 1.00 0.55 ]
[ 0.16 0.11 0.67 0.30 0.08 0.53 0.06 0.55 1.00 ]
];
